season,teams,superflex,mc_points,greedy_points,adp_points
2023,8,0,1382.2039999999997,1384.8060000000003,1183.648
2023,8,0,1382.2179999999998,1358.1860000000001,895.22
2023,8,0,1401.1760000000002,1394.6940000000002,1245.23
2023,8,0,1363.646,1389.63,1234.02
2023,8,0,1393.8679999999997,1378.066,1337.8899999999999
2023,8,1,1635.7740000000003,1636.0900000000001,1447.044
2023,8,1,1633.1600000000003,1598.6560000000004,1463.5900000000001
2023,8,1,1643.7100000000003,1638.2380000000003,1518.6819999999998
2023,8,1,1639.12,1643.8,1436.758
2023,8,1,1622.3540000000003,1635.366,1435.0159999999998
2023,8,1,1633.3900000000003,1640.0100000000002,1340.1360000000002
2023,8,1,1631.608,1637.3360000000002,1440.036
2023,8,1,1633.9700000000003,1622.258,1577.56
2023,8,1,1641.4160000000002,1636.634,1526.38
2023,8,1,1633.9700000000003,1617.534,1421.718
2023,8,1,1599.52,1637.2600000000002,1410.5420000000001
2023,8,1,1638.4700000000003,1636.0900000000001,1423.4340000000002
2023,8,1,1634.5600000000004,1604.2440000000004,1538.5620000000001
2023,8,1,1633.3900000000003,1634.7880000000002,1577.0499999999997
2023,8,1,1608.4279999999999,1567.75,1425.392
2023,8,1,1658.4180000000001,1558.254,1413.1760000000002
2023,8,1,1606.1740000000002,1636.0900000000001,1425.062
2023,8,1,1643.2960000000003,1581.0960000000002,1460.922
2023,8,1,1631.8740000000003,1637.3360000000002,1429.838
2023,8,1,1631.334,1628.3700000000003,1530.504
2023,8,1,1638.88,1656.0800000000002,1428.774
2023,8,1,1622.8899999999999,1590.9420000000002,1435.522
2023,8,1,1615.728,1637.2600000000002,1444.16
2023,8,1,1597.32,1637.2600000000002,1411.0320000000002
2023,8,1,1655.734,1634.1140000000003,1143.37
2023,8,1,1623.3980000000001,1614.5540000000003,1256.788
2023,8,1,1593.5680000000002,1658.6860000000001,1433.538
2023,8,1,1599.796,1613.8760000000002,1482.94
2023,8,1,1647.0760000000002,1652.3360000000002,1428.804
2023,8,1,1597.61,1617.5480000000002,1422.212
2023,8,1,1644.5480000000002,1614.6940000000002,1457.0080000000003
2023,8,1,1606.4180000000001,1648.4099999999999,1576.362
2023,8,1,1605.558,1636.0900000000001,1467.6200000000001
2023,8,1,1633.7,1645.3100000000004,1549.382
2023,8,1,1622.1940000000002,1621.176,1463.8980000000001
2023,8,1,1633.844,1621.176,1442.2759999999998
2023,8,1,1621.5240000000001,1636.0900000000001,1427.344
2023,8,1,1578.696,1637.2600000000002,1450.102
2023,8,1,1625.96,1659.7060000000001,1429.452
2023,8,1,1635.7340000000002,1628.3700000000003,1341.4119999999998
2023,10,0,1354.764,1334.9720000000002,1171.31
2023,10,0,1332.812,1317.178,1172.3600000000001
2023,10,0,1352.744,1367.2060000000001,1208.798
2023,10,0,1366.8700000000001,1348.054,1161.142
2023,10,0,1362.956,1306.69,1286.32
2023,10,0,1376.89,1350.344,1197.878
2023,10,0,1353.5639999999999,1335.388,1230.4800000000002
2023,10,0,1369.136,1332.332,1276.528
2023,10,0,1360.558,1336.494,1196.97
2023,10,0,1346.512,1342.67,1292.136
2023,10,0,1314.248,1355.9260000000002,1197.3300000000002
2023,10,0,1360.824,1353.706,1293.3
2023,10,0,1327.728,1357.126,932.8100000000001
2023,10,0,1377.148,1340.414,1160.1
2023,10,0,1379.776,1352.654,1205.39
2023,10,0,1347.5459999999998,1326.884,1183.8799999999999
2023,10,0,1366.9399999999998,1350.1260000000002,1190.2
2023,10,0,1352.4879999999998,1335.6160000000002,1153.092
2023,10,0,1346.99,1359.8439999999998,894.8499999999999
2023,10,0,1339.56,1322.698,1184.3719999999998
2023,10,0,1357.2960000000003,1333.064,882.8599999999999
2023,10,0,1376.0379999999998,1350.7760000000003,1158.576
2023,10,0,1357.724,1330.0300000000002,1233.512
2023,10,0,1344.018,1359.23,1323.382
2023,10,0,1361.8039999999999,1348.03,1313.976
2023,10,0,1364.53,1332.6840000000002,1132.01
2023,10,0,1380.59,1352.69,1191.9560000000001
2023,10,0,1351.764,1321.352,1032.6100000000001
2023,10,0,1335.434,1351.7,1283.94
2023,10,0,1319.9479999999999,1331.24,1209.08
2023,10,0,1355.136,1316.6380000000001,1302.29
2023,10,0,1385.1639999999998,1300.67,1267.3120000000001
2023,10,0,1339.798,1336.376,1173.202
2023,10,0,1343.5379999999998,1324.054,1307.94
2023,10,0,1355.024,1358.6260000000002,913.98
2023,10,0,1357.26,1331.4240000000002,1109.596
2023,10,0,1328.448,1338.7359999999999,1298.1359999999997
2023,10,0,1355.024,1321.218,1094.312
2023,10,0,1370.7679999999998,1322.746,1199.0900000000001
2023,10,0,1352.776,1330.104,1248.972
2023,10,1,1552.446,1575.596,1381.0259999999998
2023,10,1,1548.3020000000001,1580.1060000000002,1489.4120000000003
2023,10,1,1572.3480000000002,1592.9920000000002,1542.21
2023,10,1,1569.9840000000002,1580.1060000000002,1420.7820000000002
2023,10,1,1594.1560000000002,1557.708,1461.9700000000003
2023,10,1,1519.588,1598.7960000000003,1395.138
2023,10,1,1570.3000000000002,1586.466,1495.814
2023,10,1,1599.026,1563.3780000000002,1493.216
2023,10,1,1564.2179999999998,1576.746,1524.74
2023,10,1,1537.2240000000002,1583.938,1559.314
2023,10,1,1596.496,1611.0140000000004,1430.3020000000001
2023,10,1,1553.8859999999997,1563.946,1479.1840000000002
2023,10,1,1607.696,1611.0140000000004,1384.828
2023,10,1,1561.904,1546.058,1368.576
2023,10,1,1578.958,1605.1940000000002,1494.7820000000002
2023,10,1,1601.7660000000003,1621.9400000000003,1406.21
2023,10,1,1563.046,1586.466,1315.156
2023,10,1,1573.4800000000002,1591.996,1364.4859999999999
2023,10,1,1556.6160000000002,1563.946,1304.3740000000003
2023,10,1,1603.8480000000004,1609.544,1524.85
2023,10,1,1557.374,1600.786,1491.35
2023,10,1,1522.468,1592.764,1500.948
2023,10,1,1573.272,1536.0700000000002,1407.8120000000001
2023,10,1,1532.384,1596.3060000000003,1499.5100000000002
2023,10,1,1561.0220000000002,1584.7640000000001,1499.908
2023,10,1,1593.6400000000003,1600.5900000000001,1374.7820000000002
2023,10,1,1548.4539999999997,1542.43,1497.8519999999999
2023,10,1,1515.166,1540.47,1540.292
2023,10,1,1598.8759999999997,1605.1940000000002,1535.6680000000001
2023,10,1,1560.358,1574.266,1442.152
2023,10,1,1588.22,1591.188,1422.596
2023,10,1,1580.24,1605.1740000000002,1373.6280000000002
2023,10,1,1645.666,1572.0580000000002,1440.372
2023,10,1,1520.536,1565.9800000000002,1398.472
2023,10,1,1603.018,1581.3880000000001,1482.478
2023,10,1,1563.496,1572.806,1499.2700000000002
2023,10,1,1587.742,1569.84,1407.772
2023,10,1,1614.7759999999998,1597.064,1505.404
2023,10,1,1579.784,1599.354,1379.99
2023,10,1,1548.4139999999998,1563.946,1245.322
2023,12,0,1318.2300000000002,1296.616,1226.582
2023,12,0,1328.2400000000002,1314.496,1230.3999999999999
2023,12,0,1353.164,1283.378,1136.72
2023,12,0,1352.5200000000002,1313.768,1218.0919999999999
2023,12,0,1294.18,1330.886,1284.9
2023,12,0,1313.1519999999998,1310.7200000000003,1141.45
2023,12,0,1334.134,1303.662,1234.93
2023,12,0,1299.3500000000001,1320.6260000000002,1260.5620000000001
2023,12,0,1309.378,1341.5040000000001,1245.7720000000002
2023,12,0,1315.03,1291.3160000000003,1217.0
2023,12,0,1345.036,1305.9,979.9000000000001
2023,12,0,1280.44,1302.0940000000003,1193.9740000000002
2023,12,0,1303.818,1319.77,1217.852
2023,12,0,1336.134,1306.092,1287.1399999999999
2023,12,0,1319.374,1323.2100000000003,1085.222
2023,12,0,1302.4800000000002,1320.296,927.4300000000001
2023,12,0,1357.454,1296.64,1241.5420000000001
2023,12,0,1349.6940000000002,1298.238,1108.5300000000002
